# HSK 3.0 Level 1 Vocabulary
# Source: Wiktionary - https://en.wiktionary.org/wiki/Appendix:HSK_list_of_Mandarin_words_v3.0/level_1
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Format: chinese,pinyin,english
爱,ài,love;loving;to love
电视,diànshì,TV;television
电影,diànyǐng,movie;film
东边,dōngbian,east side
东西,dōngxi,thing;things;stuff
动作,dòngzuò,action;movement
读书,dú∥shū,to read;to study;reading
多少,duōshao,how much;how many
儿子,érzi,son
饭店,fàndiàn,restaurant;hotel
房间,fángjiān,room
房子,fángzi,house
放假,fàng∥jià,have a holiday;on vacation
放学,fàng∥xué,school is over;after school
非常,fēicháng,extremely;very much
飞机,fēijī,airplane;plane
干净,gānjìng,clean
高兴,gāoxìng,happy;glad
告诉,gàosu,tell;telling;to tell
哥哥,gē ge,older brother
工人,gōngrén,worker
工作,gōngzuò,work;working;to work;job
关上,guānshang,close;to close;shut
国家,guójiā,country;nation
国外,guó wài,abroad;overseas
还是,háishi,or;still
还有,hái yǒu,also;in addition
孩子,háizi,child;children;kid;kids
汉语,Hànyǔ,Chinese language
汉字,Hànzì,Chinese character
好吃,hǎochī,delicious;tasty
好看,hǎokàn,good-looking;pretty
好听,hǎotīng,pleasant to hear
好玩儿,hǎowánr,fun;amusing
后边,hòubian,behind;back side
后天,hòutiān,day after tomorrow
回答,huídá,answer;to answer;reply
回到,huídào,return to;go back to
回家,huí jiā,go home;going home
回来,huí∥·lái,come back;coming back
回去,huí∥·qù,go back;going back
火车,huǒchē,train
机场,jīchǎng,airport
鸡蛋,jīdàn,egg;eggs
机票,jīpiào,plane ticket
记得,jìde,to remember;remember
记住,jìzhù,memorize;to memorize
家里,jiā li,at home
家人,jiārén,family
见面,jiàn∥miàn,to meet;meet up
姐姐,jiě jie,older sister
介绍,jièshào,introduce;introducing;introduction
今年,jīnnián,this year
今天,jīntiān,today
进来,jìn∥·lái,come in;coming in
进去,jìn∥·qù,go in;going in
觉得,juéde,feel;to feel;think
开车,kāi∥chē,to drive;driving
开会,kāi∥huì,have a meeting
看病,kàn∥bìng,see a doctor
看到,kàndào,to see;notice
看见,kàn∥jiàn,to see;catch sight of
考试,kǎo∥shì,exam;test;to take a test
课本,kèběn,textbook
课文,kèwén,lesson text
来到,láidào,arrive;to arrive
老人,lǎorén,old person;elderly
老师,lǎoshī,teacher
里边,lǐbian,inside
楼上,lóu shàng,upstairs
楼下,lóu xià,downstairs
路口,lùkǒu,intersection;crossroads
路上,lùshang,on the road;on the way
妈妈,mā ma,mom;mommy;mother
马路,mǎlù,road;street
马上,mǎshàng,immediately;right away
没事儿,méi∥shìr,it's nothing;no problem
没有,méi·yǒu,don't have;there isn't
妹妹,mèi mei,younger sister
门口,ménkǒu,doorway;entrance
门票,ménpiào,admission ticket
米饭,mǐfàn,rice
面包,miànbāo,bread
面条儿,miàntiáor,noodles
明白,míngbai,understand;to understand;clear
明年,míngnián,next year
明天,míngtiān,tomorrow
名字,míngzi,name
哪里,nǎ·lǐ,where
哪些,nǎxiē,which ones
那边,nàbiān,over there
那里,nà·lǐ,there
那些,nàxiē,those
奶奶,nǎinai,grandma;grandmother
南边,nánbian,south side
男孩儿,nánháir,boy
男人,nánrén,man
男生,nánshēng,male student;boy
你们,nǐmen,you all;you guys
牛奶,niúnǎi,milk
女儿,nǚ'ér,daughter
女孩儿,nǚháir,girl
女人,nǚrén,woman
女生,nǚshēng,female student;girl
旁边,pángbiān,beside;next to
朋友,péngyou,friend;friends
起床,qǐ∥chuáng,get up;getting up;wake up
起来,qǐ∥·lái,get up;stand up
汽车,qìchē,car;automobile
钱包,qiánbāo,wallet;purse
前边,qiánbian,front;ahead
前天,qiántiān,day before yesterday
请假,qǐng∥jià,ask for leave
请进,qǐng jìn,please come in
请问,qǐngwèn,excuse me;may I ask
请坐,qǐng zuò,please sit down
去年,qùnián,last year
认识,rènshi,to know;recognize;recognizing
认真,rènzhēn,serious;seriously;careful
日期,rìqī,date
商场,shāngchǎng,shopping mall
商店,shāngdiàn,shop;store
上班,shàng∥bān,go to work;at work
上边,shàngbian,above;on top
上车,shàng chē,get on;board
上次,shàng cì,last time
上课,shàng∥kè,attend class;in class
上网,shàng∥wǎng,go online;surf the web
上午,shàngwǔ,morning
上学,shàng∥xué,go to school
身上,shēnshang,on the body;on oneself
身体,shēntǐ,body;health
什么,shénme,what
生病,shēng∥bìng,get sick;ill
生气,shēng∥qì,angry;to get angry
生日,shēngrì,birthday
时候,shíhou,time;moment
时间,shíjiān,time
手机,shǒujī,cell phone;phone
书包,shūbāo,schoolbag;backpack
书店,shūdiàn,bookstore
水果,shuǐguǒ,fruit
睡觉,shuì∥jiào,to sleep;go to bed
说话,shuō∥huà,to speak;to talk;talking
他们,tāmen,they;them
她们,tāmen,they;them
天气,tiānqì,weather
听到,tīngdào,to hear
听见,tīng∥jiàn,to hear
听写,tīngxiě,dictation
同学,tóngxué,classmate;classmates
外边,wàibian,outside
外国,wàiguó,foreign country;foreign
外语,wàiyǔ,foreign language
晚饭,wǎnfàn,dinner;supper
晚上,wǎnshang,evening;night
网上,wǎng shang,online
网友,wǎngyǒu,online friend
忘记,wàngjì,to forget;forget
我们,wǒmen,we;us
午饭,wǔfàn,lunch
西边,xībian,west side
喜欢,xǐhuan,to like;like;enjoy
下班,xià∥bān,get off work;leave work
下边,xiàbian,below;underneath
下车,xià chē,get off;alight
下次,xià cì,next time
下课,xià∥kè,class is over;after class
下午,xiàwǔ,afternoon
下雨,xià yǔ,to rain;raining
先生,xiānsheng,Mr.;sir;gentleman
现在,xiànzài,now;right now
小孩儿,xiǎoháir,child;kid
小姐,xiǎojiě,Miss;young lady
小时,xiǎoshí,hour;hours
小学,xiǎoxué,elementary school;primary school
谢谢,xièxie,thank you;thanks
新年,xīnnián,new year
星期,xīngqī,week
休息,xiūxi,to rest;rest;resting
学生,xué·shēng,student;students
学习,xuéxí,to study;to learn;studying;learning
学校,xuéxiào,school
学院,xuéyuàn,college;institute
爷爷,yéye,grandpa;grandfather
衣服,yīfu,clothes;clothing
医生,yīshēng,doctor
医院,yīyuàn,hospital
一半,yíbàn,half
一会儿,yíhuìr,a moment;a while
一块儿,yíkuàir,together
一下儿,yíxiàr,a little;a bit
一样,yíyàng,same;alike
一边,yìbiān,one side;at the same time
一点儿,yìdiǎnr,a little;a bit
一起,yìqǐ,together
一些,yìxiē,some;a few
有的,yǒude,some
有名,yǒu∥míng,famous;well-known
有用,yǒuyòng,useful
右边,yòubian,right side
在家,zàijiā,at home
再见,zàijiàn,goodbye
早饭,zǎofàn,breakfast
早上,zǎoshang,morning;early morning
怎么,zěnme,how;why
找到,zhǎodào,to find
这边,zhèbiān,this side;over here
这里,zhè·lǐ,here
这些,zhèxiē,these
真的,zhēn de,really;truly
正在,zhèngzài,currently;in the middle of
知道,zhī·dào,to know;know
知识,zhīshi,knowledge
中国,Zhōngguó,China
中间,zhōngjiān,middle;between
中文,Zhōngwén,Chinese
中午,zhōngwǔ,noon;midday
中学,zhōngxué,middle school
重要,zhòngyào,important
准备,zhǔnbèi,to prepare;prepare;preparing
桌子,zhuōzi,table;desk
走路,zǒu∥lù,to walk;walking
最好,zuìhǎo,best;had better
最后,zuìhòu,last;final;finally
昨天,zuótiān,yesterday
左边,zuǒbian,left side
坐下,zuò xia,sit down
不客气,bú kèqì,you're welcome
打电话,dǎ diànhuà,make a phone call
大学生,dàxuéshēng,college student
电视机,diànshìjī,television set
电影院,diànyǐngyuàn,movie theater;cinema
对不起,duìbuqǐ,sorry;excuse me
干什么,gàn shénme,what are you doing
教学楼,jiàoxuélóu,classroom building
开玩笑,kāi wánxiào,to joke;joking;kidding
没关系,méi guānxi,it doesn't matter;no problem
没什么,méi shénme,it's nothing;no big deal
男朋友,nánpéngyou,boyfriend
女朋友,nǚpéngyou,girlfriend
是不是,shì bu shì,is it;isn't it
图书馆,túshūguǎn,library
洗手间,xǐshǒujiān,bathroom;restroom
小朋友,xiǎopéngyǒu,children;kids
小学生,xiǎoxuéshēng,elementary student
星期日,xīngqīrì,Sunday
星期天,xīngqītiān,Sunday
有时候,yǒu shí hòu,sometimes
中学生,zhōngxuéshēng,middle school student
# Past tense forms (verb + 了)
爱了,àile,loved
帮了,bāngle,helped
吃了,chīle,ate
穿了,chuānle,wore
打了,dǎle,hit;played
到了,dàole,arrived
动了,dòngle,moved
读了,dúle,read
飞了,fēile,flew
放了,fàngle,put;released
干了,gànle,did
给了,gěile,gave
跟了,gēnle,followed
关了,guānle,closed;shut
过了,guòle,passed
喝了,hēle,drank
花了,huāle,spent
还了,huánle,returned
回了,huíle,returned
记了,jìle,remembered
见了,jiànle,saw;met
教了,jiāole,taught
叫了,jiàole,called
进了,jìnle,entered
开了,kāile,opened
看了,kànle,looked;watched
来了,láile,came
买了,mǎile,bought
拿了,nále,took;held
跑了,pǎole,ran
请了,qǐngle,invited
去了,qùle,went
说了,shuōle,said;spoke
送了,sòngle,sent;gave
听了,tīngle,listened;heard
忘了,wàngle,forgot
问了,wènle,asked
洗了,xǐle,washed
想了,xiǎngle,thought
笑了,xiàole,laughed;smiled
写了,xiěle,wrote
学了,xuéle,learned;studied
用了,yòngle,used
找了,zhǎole,found
走了,zǒule,walked;left
做了,zuòle,did;made
坐了,zuòle,sat
喜欢了,xǐhuanle,liked
工作了,gōngzuòle,worked
准备了,zhǔnbèile,prepared
介绍了,jièshàole,introduced
认识了,rènshile,recognized;met
回答了,huídále,answered
告诉了,gàosule,told
